,ParentLocation,Location,Period,Alcohol_Low,Alcohol_High,Alcohol_value,Deaths_Low,Deaths_High,Deaths_value,Transform
61,Europe,Russian Federation,2018,9.273333333,12.94333333,10.93333333,11.1,15.28,12.89,3
62,Europe,Russian Federation,2017,9.65,13.15666667,11.15666667,12.78,15.32,13.52,3
63,Europe,Russian Federation,2016,9.823333333,13.77,11.54333333,13.76,15.79,14.41,3
64,Europe,Russian Federation,2015,10.46333333,14.80333333,12.39,16.8,18.79,17.49,3
65,Europe,Russian Federation,2014,11.49666667,15.68,13.38,19.21,21.07,20.35,3
66,Europe,Russian Federation,2013,12.55,17.23,14.58333333,19.6,21.36,20.67,3
67,Europe,Russian Federation,2012,13.10333333,18.31666667,15.47666667,20.71,22.51,21.41,3
68,Europe,Russian Federation,2011,13.75666667,18.77,15.95333333,20.4,21.95,21.05,3
69,Europe,Russian Federation,2010,13.94333333,18.90666667,16.15333333,19.87,21.14,20.52,3
70,Europe,Russian Federation,2009,14.41666667,19.47333333,16.73333333,21.02,22.37,21.66,3
71,Europe,Russian Federation,2008,15.05333333,20.31333333,17.42666667,24.59,26.29,25.49,3
72,Europe,Russian Federation,2007,15.40333333,20.79666667,17.86,27.22,29.03,28.17,3
73,Europe,Russian Federation,2006,15.46666667,20.73666667,17.76,26.23,28.37,27.49,3
74,Europe,Russian Federation,2005,15.22333333,20.65333333,17.53666667,26.6,29.87,28.82,3
75,Europe,Russian Federation,2004,15.20333333,20.81333333,17.45666667,28.82,30.79,29.91,3
76,Europe,Russian Federation,2003,14.85333333,20.26,17.26333333,29.85,31.86,30.96,3
77,Europe,Russian Federation,2002,14.40666667,19.76666667,16.91666667,28.75,30.51,29.64,3
78,Europe,Russian Federation,2001,14.11,19.69333333,16.47,27.97,29.6,28.79,3
79,Europe,Russian Federation,2000,14.11,19.69333333,16.47,27,28.67,27.86,3
